Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Aotus miconax,Aotus,Aotus miconax,Aotus,Simian,No,0,0,0,0,0,0,0,,2,,,,,
Aotus nancymaae,Aotus,Aotus nancymaae,Aotus,Simian,No,0,0,0,0,0,0,0,2,5,1,0,0,0,
Aotus nigriceps,Aotus,Aotus nigriceps,Aotus,Simian,No,0,0,0,0,0,0,0,,1,,,,,
Aotus trivirgatus,Aotus,Aotus trivirgatus,Aotus,Simian,No,0,0,0,0,0,0,0,2,58,1,0,0,0,
Aotus vociferans,Aotus,Aotus vociferans,Aotus,Simian,No,1,0,0,0,1,0,0,2,12,2,1,0,0,
Arctocebus calabarensis,Arctocebus,Arctocebus calabarensis,Arctocebus,Prosimian,No,0,0,0,0,0,0,0,,1,,,,,
Avahi laniger,Avahi,Avahi laniger,Avahi,Prosimian,No,0,0,0,0,0,0,0,,10,,,,,
Avahi occidentalis,Avahi,Avahi occidentalis,Avahi,Prosimian,No,0,0,0,0,0,0,0,,6,,,,,
Brachyteles arachnoides,Brachyteles,Brachyteles arachnoides,Brachyteles,Simian,No,0,0,0,0,0,0,0,15,57,4,0,0,0,
Cacajao calvus,Cacajao,Cacajao calvus,Cacajao,Simian,No,0,0,0,0,0,0,0,,11,1,0,0,0,
Cacajao melanocephalus,Cacajao,Cacajao melanocephalus,Cacajao,Simian,No,0,0,0,0,0,0,0,5,8,,,,,
Cacajao rubicundus,Cacajao,Cacajao rubicundus,Cacajao,Simian,No,0,0,0,0,0,0,0,1,0,,,,,
Callicebus brunneus,Callicebus,Callicebus brunneus,Callicebus,Simian,No,0,0,0,0,0,0,0,,3,,,,,
Callicebus calligatus,Callicebus,Callicebus calligatus,Callicebus,Simian,No,0,0,0,0,0,0,0,,2,,,,,
Callicebus cinerascens,Callicebus,Callicebus cinerascens,Callicebus,Simian,No,0,0,0,0,0,0,0,,1,,,,,
Callicebus cupreus,Callicebus,Callicebus cupreus,Callicebus,Simian,No,0,0,0,0,0,0,0,2,13,2,0,0,0,
Callicebus donacophilus,Callicebus,Callicebus donacophilus,Callicebus,Simian,No,0,0,0,0,0,0,0,,1,,,,,
Callicebus dubius,Callicebus,Callicebus dubius,Callicebus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Callicebus hoffmannsi,Callicebus,Callicebus hoffmannsi,Callicebus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Callicebus modestus,Callicebus,Callicebus modestus,Callicebus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Callicebus moloch,Callicebus,Callicebus moloch,Callicebus,Simian,No,0,0,0,0,0,0,0,16,18,3,0,0,0,
Callicebus oenanthe,Callicebus,Callicebus oenanthe,Callicebus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Callicebus olallae,Callicebus,Callicebus olallae,Callicebus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Callicebus personatus,Callicebus,Callicebus personatus,Callicebus,Simian,No,0,0,0,0,0,0,0,6,19,4,0,0,0,
Callicebus torquatus,Callicebus,Callicebus torquatus,Callicebus,Simian,No,0,0,0,0,0,0,0,3,4,1,0,0,0,
Lophocebus albigena,Lophocebus,Cercocebus albigena,Cercocebus,Simian,No,0,0,0,0,0,0,0,7,34,1,0,0,0,
Cercocebus aterrimus,Cercocebus,Cercocebus aterrimus,Cercocebus,Simian,No,0,0,0,0,0,0,0,,6,,,,,
Cercocebus galeritus,Cercocebus,Cercocebus galeritus,Cercocebus,Simian,No,0,0,1,0,0,0,1,4,19,2,0,0,0,
Cercocebus torquatus,Cercocebus,Cercocebus torquatus,Cercocebus,Simian,No,0,0,0,1,0,0,0,18,32,4,0,0,0,
Chlorocebus aethiops,Chlorocebus,Cercopithecus aethiops,Cercopithecus,Simian,No,4,2,3,5,0,0,0,58,91,5,3,4,1,
Cercopithecus ascanius,Cercopithecus,Cercopithecus ascanius,Cercopithecus,Simian,No,1,0,1,1,0,0,0,5,26,,,,,
Cercopithecus campbelli,Cercopithecus,Cercopithecus campbelli,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,11,,,,,
Cercopithecus cephus,Cercopithecus,Cercopithecus cephus,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,8,,,,,
Cercopithecus denti,Cercopithecus,Cercopithecus denti,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Cercopithecus diana,Cercopithecus,Cercopithecus diana,Cercopithecus,Simian,No,0,0,0,1,0,0,0,4,28,2,0,1,0,
Cercopithecus dryas,Cercopithecus,Cercopithecus dryas,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Cercopithecus erythrogaster,Cercopithecus,Cercopithecus erythrogaster,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,3,,,,,
Cercopithecus erythrotis,Cercopithecus,Cercopithecus erythrotis,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,3,,,,,
Cercopithecus hamlyni,Cercopithecus,Cercopithecus hamlyni,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,4,,,,,
Cercopithecus lhoesti,Cercopithecus,Cercopithecus lhoesti,Cercopithecus,Simian,No,0,0,0,0,0,0,0,4,7,,,,,
Cercopithecus mitis,Cercopithecus,Cercopithecus mitis,Cercopithecus,Simian,No,4,0,3,0,1,0,0,17,56,5,4,0,0,
Cercopithecus mona,Cercopithecus,Cercopithecus mona,Cercopithecus,Simian,No,0,0,0,0,0,0,0,3,8,1,0,0,0,
Cercopithecus neglectus,Cercopithecus,Cercopithecus neglectus,Cercopithecus,Simian,No,0,0,0,0,0,0,0,3,17,,,,,
Cercopithecus nictitans,Cercopithecus,Cercopithecus nictitans,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,7,,,,,
Cercopithecus petaurista,Cercopithecus,Cercopithecus petaurista,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,5,,,,,
Cercopithecus pogonias,Cercopithecus,Cercopithecus pogonias,Cercopithecus,Simian,No,0,0,0,0,0,0,0,1,8,,,,,
Cercopithecus preussi,Cercopithecus,Cercopithecus preussi,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,2,,,,,
Cercopithecus salongo,Cercopithecus,Cercopithecus salongo,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,0,,,,,
Cercopithecus solatus,Cercopithecus,Cercopithecus solatus,Cercopithecus,Simian,No,0,0,0,0,0,0,0,2,6,,,,,
Cercopithecus wolfi,Cercopithecus,Cercopithecus wolfi,Cercopithecus,Simian,No,0,0,0,0,0,0,0,,7,,,,,
Cheirogaleus major,Cheirogaleus,Cheirogaleus major,Cheirogaleus,Prosimian,No,0,0,0,0,0,0,0,,3,,,,,
Cheirogaleus medius,Cheirogaleus,Cheirogaleus medius,Cheirogaleus,Prosimian,No,0,0,0,0,0,0,0,6,13,,,,,
Chiropotes albinasus,Chiropotes,Chiropotes albinasus,Chiropotes,Simian,No,0,0,0,0,0,0,0,2,3,1,0,0,0,
Chiropotes satanas,Chiropotes,Chiropotes satanas,Chiropotes,Simian,No,2,0,2,0,0,0,0,12,21,4,2,0,0,
Colobus angolensis,Colobus,Colobus angolensis,Colobus,Simian,No,0,0,0,0,0,0,0,2,16,,,,,
Procolobus badius,Procolobus,Colobus badius,Colobus,Simian,No,0,0,0,0,0,0,0,11,52,5,0,0,0,
Colobus guereza,Colobus,Colobus guereza,Colobus,Simian,No,1,0,1,0,0,0,0,10,42,2,0,0,0,
Procolobus kirkii,Procolobus,Colobus kirkii,Colobus,Simian,No,1,0,0,1,1,0,0,3,7,2,1,1,0,
Colobus polykomos,Colobus,Colobus polykomos,Colobus,Simian,No,0,0,0,0,0,0,0,3,17,1,0,0,0,
Colobus satanas,Colobus,Colobus satanas,Colobus,Simian,No,0,0,0,0,0,0,0,2,10,,,,,
Erythrocebus patas,Erythrocebus,Erythrocebus patas,Erythrocebus,Simian,No,1,0,1,2,1,0,1,24,33,4,0,2,0,
